trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,10,-52.11657138315232,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.7, 'e': 0.25}",20,0,-117.77412154920661,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",20,0,-87.81541009852627,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.0625}",25,0,-4.431092365892214,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.04000000000000001}",20,0,-111.27910393785908,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",25,18,-2.063344422304563,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,0,-35.20305151566217,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.015625}",25,0,-92.80111915921603,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",30,0,-54.05376274665975,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.010000000000000002}",25,0,-99.548854546921,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",20,0,-0.9469143467011306,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",20,0,-70.4925615415785,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.00591715976331361}",25,0,-13.447339629736716,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",30,5,-74.05751620292135,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",20,0,-22.645674577901904,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.00390625}",20,0,4.826171266128728,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",25,0,-32.31254264253819,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",25,0,-29.341535015732344,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.0027700831024930744}",25,0,-43.382743926142524,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.0025000000000000005}",20,0,-8.47578166819217,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,19.43866879765138,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-17.59863356108792,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-11.747823641387262,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-144.1950723617774,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",25,15,16.612429977877234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-24.726443986518994,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-1.486640445987069,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-27.437678319899156,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-48.789958954658246,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-54.458589430979636,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",20,0,18.911968993298643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,0,-6.437084735460675,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",35,0,-7.224385071417112,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",25,0,-52.49019727801532,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",25,0,-27.20886039267543,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
