trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.997004495503373}",30,0,-68.40346938858079,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.9940179640539353}",30,0,-41.75115876596975,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.9910403787728836}",20,1,-79.55834763024309,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.7, 'e': 0.9880717128619305}",20,0,-70.82716922668679,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.9851119396030626}",20,0,-30.469468307141746,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.9821610323583008}",20,0,-165.70618090123588,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9792189645694596}",35,0,-118.39443227291923,"{0: 25, 1: 3, 2: 2, 3: 4, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.9762857097579093}",25,0,-112.63057900942111,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9733612415243368}",25,5,-38.21352844930636,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.7, 'e': 0.9704455335485082}",25,9,-29.3917025743892,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.7, 'e': 0.967538559589032}",25,0,1.0714376927599085,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.9646402934831231}",20,0,11.302087599928738,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.9617507091463667}",20,2,-34.85321822686967,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.9588697805724845}",20,0,2.3935233888086973,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.9559974818331}",20,0,-14.46122657930898,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.9531337870775047}",30,0,-123.57835884899943,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.950278670532427}",30,0,-47.604544719282536,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9474321065017983}",20,0,16.227053343516463,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.9445940693665233}",25,0,0.7488711164447492,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.9417645335842487}",25,0,-10.809426470331656,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.9389434736891332}",35,0,-28.712666987064708,"{0: 31, 1: 2, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.9361308642916188}",25,0,27.060299630615503,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.933326680078202}",25,0,23.405673135397983,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
