trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-198.26614990578113,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-71.19603131018752,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-54.733157146655444,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-36.47195543476264,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,9,-33.15629162378592,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-165.7527613623231,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-187.52251068128382,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-104.68672382816264,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-241.55617871842404,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-48.82892853858058,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-244.33788426174797,"{0: 10, 1: 5, 2: 3, 3: 4, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-39.09519128300565,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-67.3505029603512,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-118.91416715095859,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-128.99779564244238,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-87.36651667735012,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,10,-51.296924309969,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-106.64526633639895,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-83.38763223360837,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-130.13082034805973,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-65.48685584128393,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-102.1260250750217,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,2,-38.54659298782216,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-180.7875423459519,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-83.88909863606318,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-225.91993045196347,"{0: 13, 1: 3, 2: 9, 3: 3, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,10,-20.669871193947362,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,-3.99178913992786,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,-3.3216634594369383,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-94.9420215404623,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
